1.1221,1.0689,0.0000,1.1117,1.0946,1.0433,1.0536,1.0812,1.1125,1.0923,1.1003,1.1195
0.5031,-0.5261,0.2856,-0.1042,-0.2616,-0.3624,-0.0019,-0.1628,-0.0475,-0.2573,-0.0641,0.2808
-0.3548,0.2994,0.2952,-0.0172,-0.1410,-0.3311,0.0781,0.0919,-0.5510,-0.4713,-0.0608,-0.1537
-0.3859,-0.2367,0.2861,-0.0266,0.0077,-0.3955,-0.2253,-0.3884,0.2078,0.3389,0.2131,-0.3885
0.0258,0.1467,0.2977,0.4886,0.0955,0.2451,-0.1408,-0.2462,0.0440,-0.2505,0.5967,0.2831
0.1191,0.2805,0.2920,-0.3153,0.6478,-0.0077,-0.1923,-0.3253,0.0205,-0.0409,-0.3497,0.1882
0.2628,-0.1635,0.2837,0.0597,-0.0198,0.4383,-0.4147,0.1751,-0.0561,-0.1803,-0.1481,-0.6062
-0.1879,-0.1187,0.2790,0.2653,-0.2506,0.3943,0.2974,-0.3681,-0.2417,0.3035,-0.4391,0.1301
-0.4438,-0.4572,0.2908,0.0175,0.3184,0.0985,0.1540,0.4753,0.2560,-0.1788,-0.0807,0.2106
0.1340,0.3904,0.2925,0.0686,-0.2411,-0.0880,0.3792,0.0113,0.6631,-0.1661,-0.1649,-0.1872
0.2819,0.1568,0.2882,0.4311,0.1574,-0.3351,-0.0448,0.4469,-0.1650,0.5048,-0.0606,0.0494
0.1973,-0.0263,0.2836,-0.4466,0.1378,0.1959,0.5341,0.0520,-0.2200,0.2070,0.4579,-0.1849
-0.1400,0.2230,0.2892,-0.4310,-0.4651,0.1639,-0.4137,0.2306,0.0779,0.2248,0.0817,0.3613
